,ply,move,fen,white_active,voc,time_control,clock,rt,game_id,white_player,black_player,result
0,3,d5c4,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,False,0.003894130747397,60+0,58.0,2.0,08hbuXaf,rapercence,Shajeta,1
1,4,b1c3,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,True,0.0111282504586472,60+0,58.0,1.0,08hbuXaf,rapercence,Shajeta,-1
2,5,b8c6,rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,False,0.0116891777187558,60+0,58.0,0.0,08hbuXaf,rapercence,Shajeta,1
3,6,e2e3,r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,True,0.0038841699725091,60+0,57.0,1.0,08hbuXaf,rapercence,Shajeta,-1
4,7,e7e6,r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,False,0.0249795822010456,60+0,56.0,2.0,08hbuXaf,rapercence,Shajeta,1
5,8,f1c4,r1bqkbnr/ppp2ppp/2n1p3/8/2pP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 5,True,0.0,60+0,55.0,2.0,08hbuXaf,rapercence,Shajeta,-1
6,9,f8b4,r1bqkbnr/ppp2ppp/2n1p3/8/2BP4/2N1P3/PP3PPP/R1BQK1NR b KQkq - 0 5,False,0.0,60+0,54.0,2.0,08hbuXaf,rapercence,Shajeta,1
7,10,d1c2,r1bqk1nr/ppp2ppp/2n1p3/8/1bBP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 1 6,True,0.0285943143033113,60+0,53.0,2.0,08hbuXaf,rapercence,Shajeta,-1
8,11,b4c3,r1bqk1nr/ppp2ppp/2n1p3/8/1bBP4/2N1P3/PPQ2PPP/R1B1K1NR b KQkq - 2 6,False,0.0,60+0,53.0,1.0,08hbuXaf,rapercence,Shajeta,1
9,12,b2c3,r1bqk1nr/ppp2ppp/2n1p3/8/2BP4/2b1P3/PPQ2PPP/R1B1K1NR w KQkq - 0 7,True,0.0,60+0,52.0,1.0,08hbuXaf,rapercence,Shajeta,-1
10,13,g8f6,r1bqk1nr/ppp2ppp/2n1p3/8/2BP4/2P1P3/P1Q2PPP/R1B1K1NR b KQkq - 0 7,False,0.0329169005040578,60+0,51.0,2.0,08hbuXaf,rapercence,Shajeta,1
11,14,g1f3,r1bqk2r/ppp2ppp/2n1pn2/8/2BP4/2P1P3/P1Q2PPP/R1B1K1NR w KQkq - 1 8,True,0.0005429996834018,60+0,50.0,2.0,08hbuXaf,rapercence,Shajeta,-1
12,15,e8g8,r1bqk2r/ppp2ppp/2n1pn2/8/2BP4/2P1PN2/P1Q2PPP/R1B1K2R b KQkq - 2 8,False,0.0130010948601381,60+0,49.0,2.0,08hbuXaf,rapercence,Shajeta,1
13,16,e1g1,r1bq1rk1/ppp2ppp/2n1pn2/8/2BP4/2P1PN2/P1Q2PPP/R1B1K2R w KQ - 3 9,True,0.0161448563492913,60+0,40.0,10.0,08hbuXaf,rapercence,Shajeta,-1
14,17,f6d5,r1bq1rk1/ppp2ppp/2n1pn2/8/2BP4/2P1PN2/P1Q2PPP/R1B2RK1 b - - 4 9,False,0.0,60+0,47.0,2.0,08hbuXaf,rapercence,Shajeta,1
15,18,f1e1,r1bq1rk1/ppp2ppp/2n1p3/3n4/2BP4/2P1PN2/P1Q2PPP/R1B2RK1 w - - 5 10,True,0.0087400425293445,60+0,37.0,3.0,08hbuXaf,rapercence,Shajeta,-1
16,19,h7h6,r1bq1rk1/ppp2ppp/2n1p3/3n4/2BP4/2P1PN2/P1Q2PPP/R1B1R1K1 b - - 6 10,False,0.0147391522192508,60+0,44.0,3.0,08hbuXaf,rapercence,Shajeta,1
17,20,e3e4,r1bq1rk1/ppp2pp1/2n1p2p/3n4/2BP4/2P1PN2/P1Q2PPP/R1B1R1K1 w - - 0 11,True,0.0179145297232029,60+0,35.0,2.0,08hbuXaf,rapercence,Shajeta,-1
18,21,d5e7,r1bq1rk1/ppp2pp1/2n1p2p/3n4/2BPP3/2P2N2/P1Q2PPP/R1B1R1K1 b - - 0 11,False,0.0184589717295859,60+0,42.0,2.0,08hbuXaf,rapercence,Shajeta,1
19,22,f3d2,r1bq1rk1/ppp1npp1/2n1p2p/8/2BPP3/2P2N2/P1Q2PPP/R1B1R1K1 w - - 1 12,True,0.0248888587946842,60+0,31.0,4.0,08hbuXaf,rapercence,Shajeta,-1
20,23,a7a6,r1bq1rk1/ppp1npp1/2n1p2p/8/2BPP3/2P5/P1QN1PPP/R1B1R1K1 b - - 2 12,False,0.0084978595818441,60+0,39.0,3.0,08hbuXaf,rapercence,Shajeta,1
21,24,c2d3,r1bq1rk1/1pp1npp1/p1n1p2p/8/2BPP3/2P5/P1QN1PPP/R1B1R1K1 w - - 0 13,True,0.0156199579164848,60+0,29.0,2.0,08hbuXaf,rapercence,Shajeta,-1
22,25,b7b5,r1bq1rk1/1pp1npp1/p1n1p2p/8/2BPP3/2PQ4/P2N1PPP/R1B1R1K1 b - - 1 13,False,0.056990379997866,60+0,38.0,1.0,08hbuXaf,rapercence,Shajeta,1
23,26,c4b3,r1bq1rk1/2p1npp1/p1n1p2p/1p6/2BPP3/2PQ4/P2N1PPP/R1B1R1K1 w - - 0 14,True,0.0,60+0,28.0,1.0,08hbuXaf,rapercence,Shajeta,-1
24,27,c6a7,r1bq1rk1/2p1npp1/p1n1p2p/1p6/3PP3/1BPQ4/P2N1PPP/R1B1R1K1 b - - 1 14,False,0.0,60+0,36.0,2.0,08hbuXaf,rapercence,Shajeta,1
25,28,d3g3,r1bq1rk1/n1p1npp1/p3p2p/1p6/3PP3/1BPQ4/P2N1PPP/R1B1R1K1 w - - 2 15,True,0.0,60+0,26.0,2.0,08hbuXaf,rapercence,Shajeta,-1
26,29,c8b7,r1bq1rk1/n1p1npp1/p3p2p/1p6/3PP3/1BP3Q1/P2N1PPP/R1B1R1K1 b - - 3 15,False,0.0249893322953724,60+0,34.0,2.0,08hbuXaf,rapercence,Shajeta,1
27,30,d2f3,r2q1rk1/nbp1npp1/p3p2p/1p6/3PP3/1BP3Q1/P2N1PPP/R1B1R1K1 w - - 4 16,True,0.0088857552359687,60+0,24.0,2.0,08hbuXaf,rapercence,Shajeta,-1
28,31,e7g6,r2q1rk1/nbp1npp1/p3p2p/1p6/3PP3/1BP2NQ1/P4PPP/R1B1R1K1 b - - 5 16,False,0.0270836385444824,60+0,31.0,3.0,08hbuXaf,rapercence,Shajeta,1
29,32,f3e5,r2q1rk1/nbp2pp1/p3p1np/1p6/3PP3/1BP2NQ1/P4PPP/R1B1R1K1 w - - 6 17,True,0.0,60+0,18.0,6.0,08hbuXaf,rapercence,Shajeta,-1
30,33,g6e5,r2q1rk1/nbp2pp1/p3p1np/1p2N3/3PP3/1BP3Q1/P4PPP/R1B1R1K1 b - - 7 17,False,0.0,60+0,29.0,2.0,08hbuXaf,rapercence,Shajeta,1
31,34,d4e5,r2q1rk1/nbp2pp1/p3p2p/1p2n3/3PP3/1BP3Q1/P4PPP/R1B1R1K1 w - - 0 18,True,0.1304166771344738,60+0,16.0,2.0,08hbuXaf,rapercence,Shajeta,-1
32,35,b7e4,r2q1rk1/nbp2pp1/p3p2p/1p2P3/4P3/1BP3Q1/P4PPP/R1B1R1K1 b - - 0 18,False,0.0524732824494373,60+0,27.0,2.0,08hbuXaf,rapercence,Shajeta,1
33,36,c1h6,r2q1rk1/n1p2pp1/p3p2p/1p2P3/4b3/1BP3Q1/P4PPP/R1B1R1K1 w - - 0 19,True,0.0,60+0,14.0,2.0,08hbuXaf,rapercence,Shajeta,-1
34,37,g7g6,r2q1rk1/n1p2pp1/p3p2B/1p2P3/4b3/1BP3Q1/P4PPP/R3R1K1 b - - 0 19,False,0.0,60+0,22.0,5.0,08hbuXaf,rapercence,Shajeta,1
35,38,e1e4,r2q1rk1/n1p2p2/p3p1pB/1p2P3/4b3/1BP3Q1/P4PPP/R3R1K1 w - - 0 20,True,0.0540117104849404,60+0,12.0,2.0,08hbuXaf,rapercence,Shajeta,-1
36,39,f8e8,r2q1rk1/n1p2p2/p3p1pB/1p2P3/4R3/1BP3Q1/P4PPP/R5K1 b - - 0 20,False,0.0234394616474427,60+0,20.0,2.0,08hbuXaf,rapercence,Shajeta,1
37,40,b3c2,r2qr1k1/n1p2p2/p3p1pB/1p2P3/4R3/1BP3Q1/P4PPP/R5K1 w - - 1 21,True,0.05214404245525,60+0,10.0,2.0,08hbuXaf,rapercence,Shajeta,-1
38,41,d8d2,r2qr1k1/n1p2p2/p3p1pB/1p2P3/4R3/2P3Q1/P1B2PPP/R5K1 b - - 2 21,False,0.0472936193406365,60+0,15.0,5.0,08hbuXaf,rapercence,Shajeta,1
39,42,e4f4,r3r1k1/n1p2p2/p3p1pB/1p2P3/4R3/2P3Q1/P1Bq1PPP/R5K1 w - - 3 22,True,0.0,60+0,7.0,3.0,08hbuXaf,rapercence,Shajeta,-1
40,43,d2d7,r3r1k1/n1p2p2/p3p1pB/1p2P3/5R2/2P3Q1/P1Bq1PPP/R5K1 b - - 4 22,False,0.0,60+0,11.0,4.0,08hbuXaf,rapercence,Shajeta,1
41,44,c2g6,r3r1k1/n1pq1p2/p3p1pB/1p2P3/5R2/2P3Q1/P1B2PPP/R5K1 w - - 5 23,True,0.0419332474128628,60+0,5.0,2.0,08hbuXaf,rapercence,Shajeta,-1
42,45,f7g6,r3r1k1/n1pq1p2/p3p1BB/1p2P3/5R2/2P3Q1/P4PPP/R5K1 b - - 0 23,False,0.0,60+0,10.0,1.0,08hbuXaf,rapercence,Shajeta,1
43,46,g3g6,r3r1k1/n1pq4/p3p1pB/1p2P3/5R2/2P3Q1/P4PPP/R5K1 w - - 0 24,True,0.0,60+0,4.0,1.0,08hbuXaf,rapercence,Shajeta,-1
44,47,g8h8,r3r1k1/n1pq4/p3p1QB/1p2P3/5R2/2P5/P4PPP/R5K1 b - - 0 24,False,0.0,60+0,8.0,2.0,08hbuXaf,rapercence,Shajeta,1
45,48,f4f8,r3r2k/n1pq4/p3p1QB/1p2P3/5R2/2P5/P4PPP/R5K1 w - - 1 25,True,0.0322302324333966,60+0,2.0,2.0,08hbuXaf,rapercence,Shajeta,-1
