,ply,move,fen,white_active,voc,time_control,clock,rt,game_id,white_player,black_player,result
0,3,b8c6,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,False,0.016692956037682,600+0,599.0,1.0,01OKs4zC,esteban1961,elkaca,1
1,4,c1f4,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,True,0.0,600+0,593.0,5.0,01OKs4zC,esteban1961,elkaca,-1
2,5,e7e6,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,False,0.0,600+0,581.0,18.0,01OKs4zC,esteban1961,elkaca,1
3,6,c2c3,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,True,0.0,600+0,591.0,2.0,01OKs4zC,esteban1961,elkaca,-1
4,7,f8d6,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 0 4,False,0.0038954431823103,600+0,577.0,4.0,01OKs4zC,esteban1961,elkaca,1
5,8,f3e5,r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 1 5,True,0.0,600+0,588.0,3.0,01OKs4zC,esteban1961,elkaca,-1
6,9,d6e5,r1bqk1nr/ppp2ppp/2nbp3/3pN3/3P1B2/2P5/PP2PPPP/RN1QKB1R b KQkq - 2 5,False,0.0816380541140153,600+0,573.0,4.0,01OKs4zC,esteban1961,elkaca,1
7,10,d4e5,r1bqk1nr/ppp2ppp/2n1p3/3pb3/3P1B2/2P5/PP2PPPP/RN1QKB1R w KQkq - 0 6,True,0.0,600+0,585.0,3.0,01OKs4zC,esteban1961,elkaca,-1
8,11,g7g5,r1bqk1nr/ppp2ppp/2n1p3/3pP3/5B2/2P5/PP2PPPP/RN1QKB1R b KQkq - 0 6,False,0.0316251022452465,600+0,553.0,20.0,01OKs4zC,esteban1961,elkaca,1
9,12,f4g3,r1bqk1nr/ppp2p1p/2n1p3/3pP1p1/5B2/2P5/PP2PPPP/RN1QKB1R w KQkq - 0 7,True,0.0,600+0,582.0,3.0,01OKs4zC,esteban1961,elkaca,-1
10,13,g8h6,r1bqk1nr/ppp2p1p/2n1p3/3pP1p1/8/2P3B1/PP2PPPP/RN1QKB1R b KQkq - 1 7,False,0.0489314567143374,600+0,548.0,5.0,01OKs4zC,esteban1961,elkaca,1
11,14,h2h3,r1bqk2r/ppp2p1p/2n1p2n/3pP1p1/8/2P3B1/PP2PPPP/RN1QKB1R w KQkq - 2 8,True,0.0477256746729854,600+0,580.0,2.0,01OKs4zC,esteban1961,elkaca,-1
12,15,h6f5,r1bqk2r/ppp2p1p/2n1p2n/3pP1p1/8/2P3BP/PP2PPP1/RN1QKB1R b KQkq - 0 8,False,0.0,600+0,547.0,1.0,01OKs4zC,esteban1961,elkaca,1
13,16,g3h2,r1bqk2r/ppp2p1p/2n1p3/3pPnp1/8/2P3BP/PP2PPP1/RN1QKB1R w KQkq - 1 9,True,0.0,600+0,578.0,2.0,01OKs4zC,esteban1961,elkaca,-1
14,17,h7h6,r1bqk2r/ppp2p1p/2n1p3/3pPnp1/8/2P4P/PP2PPPB/RN1QKB1R b KQkq - 2 9,False,0.0178110799330868,600+0,543.0,4.0,01OKs4zC,esteban1961,elkaca,1
15,18,e2e3,r1bqk2r/ppp2p2/2n1p2p/3pPnp1/8/2P4P/PP2PPPB/RN1QKB1R w KQkq - 0 10,True,0.0,600+0,576.0,2.0,01OKs4zC,esteban1961,elkaca,-1
16,19,c8d7,r1bqk2r/ppp2p2/2n1p2p/3pPnp1/8/2P1P2P/PP3PPB/RN1QKB1R b KQkq - 0 10,False,0.0222358936406381,600+0,539.0,4.0,01OKs4zC,esteban1961,elkaca,1
17,20,f1b5,r2qk2r/pppb1p2/2n1p2p/3pPnp1/8/2P1P2P/PP3PPB/RN1QKB1R w KQkq - 1 11,True,0.0272079149487309,600+0,573.0,3.0,01OKs4zC,esteban1961,elkaca,-1
18,21,d8e7,r2qk2r/pppb1p2/2n1p2p/1B1pPnp1/8/2P1P2P/PP3PPB/RN1QK2R b KQkq - 2 11,False,0.0,600+0,536.0,3.0,01OKs4zC,esteban1961,elkaca,1
19,22,b1d2,r3k2r/pppbqp2/2n1p2p/1B1pPnp1/8/2P1P2P/PP3PPB/RN1QK2R w KQkq - 3 12,True,0.0272535885656431,600+0,569.0,4.0,01OKs4zC,esteban1961,elkaca,-1
20,23,e8c8,r3k2r/pppbqp2/2n1p2p/1B1pPnp1/8/2P1P2P/PP1N1PPB/R2QK2R b KQkq - 4 12,False,0.0272374488318687,600+0,525.0,11.0,01OKs4zC,esteban1961,elkaca,1
21,24,e1g1,2kr3r/pppbqp2/2n1p2p/1B1pPnp1/8/2P1P2P/PP1N1PPB/R2QK2R w KQ - 5 13,True,0.1109609440492373,600+0,565.0,4.0,01OKs4zC,esteban1961,elkaca,-1
22,25,h6h5,2kr3r/pppbqp2/2n1p2p/1B1pPnp1/8/2P1P2P/PP1N1PPB/R2Q1RK1 b - - 6 13,False,0.0,600+0,521.0,4.0,01OKs4zC,esteban1961,elkaca,1
23,26,a2a4,2kr3r/pppbqp2/2n1p3/1B1pPnpp/8/2P1P2P/PP1N1PPB/R2Q1RK1 w - - 0 14,True,0.0,600+0,561.0,4.0,01OKs4zC,esteban1961,elkaca,-1
24,27,c6b8,2kr3r/pppbqp2/2n1p3/1B1pPnpp/P7/2P1P2P/1P1N1PPB/R2Q1RK1 b - - 0 14,False,0.0,600+0,518.0,3.0,01OKs4zC,esteban1961,elkaca,1
25,28,b5d7,1nkr3r/pppbqp2/4p3/1B1pPnpp/P7/2P1P2P/1P1N1PPB/R2Q1RK1 w - - 1 15,True,0.0,600+0,557.0,4.0,01OKs4zC,esteban1961,elkaca,-1
26,29,e7d7,1nkr3r/pppBqp2/4p3/3pPnpp/P7/2P1P2P/1P1N1PPB/R2Q1RK1 b - - 0 15,False,0.0,600+0,514.0,4.0,01OKs4zC,esteban1961,elkaca,1
27,30,c3c4,1nkr3r/pppq1p2/4p3/3pPnpp/P7/2P1P2P/1P1N1PPB/R2Q1RK1 w - - 0 16,True,0.0250270154246584,600+0,547.0,10.0,01OKs4zC,esteban1961,elkaca,-1
28,31,d5c4,1nkr3r/pppq1p2/4p3/3pPnpp/P1P5/4P2P/1P1N1PPB/R2Q1RK1 b - - 0 16,False,0.1017870284248313,600+0,511.0,3.0,01OKs4zC,esteban1961,elkaca,1
29,32,d2c4,1nkr3r/pppq1p2/4p3/4Pnpp/P1p5/4P2P/1P1N1PPB/R2Q1RK1 w - - 0 17,True,0.0,600+0,544.0,3.0,01OKs4zC,esteban1961,elkaca,-1
30,33,d7c6,1nkr3r/pppq1p2/4p3/4Pnpp/P1N5/4P2P/1P3PPB/R2Q1RK1 b - - 0 17,False,0.0136821002310508,600+0,505.0,6.0,01OKs4zC,esteban1961,elkaca,1
31,34,b2b3,1nkr3r/ppp2p2/2q1p3/4Pnpp/P1N5/4P2P/1P3PPB/R2Q1RK1 w - - 1 18,True,0.0,600+0,541.0,3.0,01OKs4zC,esteban1961,elkaca,-1
32,35,d8d1,1nkr3r/ppp2p2/2q1p3/4Pnpp/P1N5/1P2P2P/5PPB/R2Q1RK1 b - - 0 18,False,0.0,600+0,502.0,3.0,01OKs4zC,esteban1961,elkaca,1
33,36,f1d1,1nk4r/ppp2p2/2q1p3/4Pnpp/P1N5/1P2P2P/5PPB/R2r1RK1 w - - 0 19,True,0.0,600+0,538.0,3.0,01OKs4zC,esteban1961,elkaca,-1
34,37,f5h4,1nk4r/ppp2p2/2q1p3/4Pnpp/P1N5/1P2P2P/5PPB/R2R2K1 b - - 0 19,False,0.0095300753757441,600+0,495.0,7.0,01OKs4zC,esteban1961,elkaca,1
35,38,a4a5,1nk4r/ppp2p2/2q1p3/4P1pp/P1N4n/1P2P2P/5PPB/R2R2K1 w - - 1 20,True,0.0390995111584046,600+0,526.0,12.0,01OKs4zC,esteban1961,elkaca,-1
36,39,c6g2,1nk4r/ppp2p2/2q1p3/P3P1pp/2N4n/1P2P2P/5PPB/R2R2K1 b - - 0 20,False,0.0,600+0,491.0,4.0,01OKs4zC,esteban1961,elkaca,1
