,ply,move,fen,white_active,voc,time_control,clock,rt,game_id,white_player,black_player,result
0,3,c5d4,rnbqkbnr/pp1ppppp/8/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,False,0.0,300+0,298.0,2.0,05rbQ5jE,faizalbudimas,kn-dti,1
1,4,f3d4,rnbqkbnr/pp1ppppp/8/8/3p4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,True,0.0100057282990076,300+0,298.0,0.0,05rbQ5jE,faizalbudimas,kn-dti,-1
2,5,g8f6,rnbqkbnr/pp1ppppp/8/8/3N4/8/PPP1PPPP/RNBQKB1R b KQkq - 0 3,False,0.0244655065712042,300+0,297.0,1.0,05rbQ5jE,faizalbudimas,kn-dti,1
3,6,e2e3,rnbqkb1r/pp1ppppp/5n2/8/3N4/8/PPP1PPPP/RNBQKB1R w KQkq - 1 4,True,0.0,300+0,296.0,2.0,05rbQ5jE,faizalbudimas,kn-dti,-1
4,7,e7e6,rnbqkb1r/pp1ppppp/5n2/8/3N4/4P3/PPP2PPP/RNBQKB1R b KQkq - 0 4,False,0.0011099535033725,300+0,294.0,3.0,05rbQ5jE,faizalbudimas,kn-dti,1
5,8,c2c4,rnbqkb1r/pp1p1ppp/4pn2/8/3N4/4P3/PPP2PPP/RNBQKB1R w KQkq - 0 5,True,0.0,300+0,295.0,1.0,05rbQ5jE,faizalbudimas,kn-dti,-1
6,9,b8c6,rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/4P3/PP3PPP/RNBQKB1R b KQkq - 0 5,False,0.001113237150539,300+0,292.0,2.0,05rbQ5jE,faizalbudimas,kn-dti,1
7,10,b1c3,r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/4P3/PP3PPP/RNBQKB1R w KQkq - 1 6,True,0.0,300+0,288.0,7.0,05rbQ5jE,faizalbudimas,kn-dti,-1
8,11,c6d4,r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N1P3/PP3PPP/R1BQKB1R b KQkq - 2 6,False,0.0,300+0,288.0,4.0,05rbQ5jE,faizalbudimas,kn-dti,1
9,12,d1d4,r1bqkb1r/pp1p1ppp/4pn2/8/2Pn4/2N1P3/PP3PPP/R1BQKB1R w KQkq - 0 7,True,0.0,300+0,288.0,0.0,05rbQ5jE,faizalbudimas,kn-dti,-1
10,13,f8b4,r1bqkb1r/pp1p1ppp/4pn2/8/2PQ4/2N1P3/PP3PPP/R1B1KB1R b KQkq - 0 7,False,0.0,300+0,283.0,5.0,05rbQ5jE,faizalbudimas,kn-dti,1
11,14,c1d2,r1bqk2r/pp1p1ppp/4pn2/8/1bPQ4/2N1P3/PP3PPP/R1B1KB1R w KQkq - 1 8,True,0.0116603421733094,300+0,287.0,1.0,05rbQ5jE,faizalbudimas,kn-dti,-1
12,15,e8g8,r1bqk2r/pp1p1ppp/4pn2/8/1bPQ4/2N1P3/PP1B1PPP/R3KB1R b KQkq - 2 8,False,0.0,300+0,281.0,2.0,05rbQ5jE,faizalbudimas,kn-dti,1
13,16,f1e2,r1bq1rk1/pp1p1ppp/4pn2/8/1bPQ4/2N1P3/PP1B1PPP/R3KB1R w KQ - 3 9,True,0.0044532948078673,300+0,282.0,5.0,05rbQ5jE,faizalbudimas,kn-dti,-1
14,17,b7b6,r1bq1rk1/pp1p1ppp/4pn2/8/1bPQ4/2N1P3/PP1BBPPP/R3K2R b KQ - 4 9,False,0.0161285821160376,300+0,274.0,7.0,05rbQ5jE,faizalbudimas,kn-dti,1
15,18,e2f3,r1bq1rk1/p2p1ppp/1p2pn2/8/1bPQ4/2N1P3/PP1BBPPP/R3K2R w KQ - 0 10,True,0.0,300+0,275.0,7.0,05rbQ5jE,faizalbudimas,kn-dti,-1
16,19,a8b8,r1bq1rk1/p2p1ppp/1p2pn2/8/1bPQ4/2N1PB2/PP1B1PPP/R3K2R b KQ - 1 10,False,0.0327181094838043,300+0,260.0,14.0,05rbQ5jE,faizalbudimas,kn-dti,1
17,20,a2a3,1rbq1rk1/p2p1ppp/1p2pn2/8/1bPQ4/2N1PB2/PP1B1PPP/R3K2R w KQ - 2 11,True,0.0355931249476619,300+0,268.0,7.0,05rbQ5jE,faizalbudimas,kn-dti,-1
18,21,b4c5,1rbq1rk1/p2p1ppp/1p2pn2/8/1bPQ4/P1N1PB2/1P1B1PPP/R3K2R b KQ - 0 11,False,0.0,300+0,252.0,8.0,05rbQ5jE,faizalbudimas,kn-dti,1
19,22,d4f4,1rbq1rk1/p2p1ppp/1p2pn2/2b5/2PQ4/P1N1PB2/1P1B1PPP/R3K2R w KQ - 1 12,True,0.0005555068094187,300+0,257.0,11.0,05rbQ5jE,faizalbudimas,kn-dti,-1
20,23,c8b7,1rbq1rk1/p2p1ppp/1p2pn2/2b5/2P2Q2/P1N1PB2/1P1B1PPP/R3K2R b KQ - 2 12,False,0.0,300+0,249.0,3.0,05rbQ5jE,faizalbudimas,kn-dti,1
21,24,f3b7,1r1q1rk1/pb1p1ppp/1p2pn2/2b5/2P2Q2/P1N1PB2/1P1B1PPP/R3K2R w KQ - 3 13,True,0.0100180524761644,300+0,251.0,6.0,05rbQ5jE,faizalbudimas,kn-dti,-1
22,25,b8b7,1r1q1rk1/pB1p1ppp/1p2pn2/2b5/2P2Q2/P1N1P3/1P1B1PPP/R3K2R b KQ - 0 13,False,0.0,300+0,247.0,2.0,05rbQ5jE,faizalbudimas,kn-dti,1
23,26,e1g1,3q1rk1/pr1p1ppp/1p2pn2/2b5/2P2Q2/P1N1P3/1P1B1PPP/R3K2R w KQ - 0 14,True,0.035475955099561,300+0,235.0,16.0,05rbQ5jE,faizalbudimas,kn-dti,-1
24,27,d7d5,3q1rk1/pr1p1ppp/1p2pn2/2b5/2P2Q2/P1N1P3/1P1B1PPP/R4RK1 b - - 1 14,False,0.0105758433219352,300+0,244.0,3.0,05rbQ5jE,faizalbudimas,kn-dti,1
25,28,c4d5,3q1rk1/pr3ppp/1p2pn2/2bp4/2P2Q2/P1N1P3/1P1B1PPP/R4RK1 w - - 0 15,True,0.0011130843018333,300+0,232.0,3.0,05rbQ5jE,faizalbudimas,kn-dti,-1
26,29,e6d5,3q1rk1/pr3ppp/1p2pn2/2bP4/5Q2/P1N1P3/1P1B1PPP/R4RK1 b - - 0 15,False,0.0061223574458023,300+0,243.0,1.0,05rbQ5jE,faizalbudimas,kn-dti,1
27,30,c3e2,3q1rk1/pr3ppp/1p3n2/2bp4/5Q2/P1N1P3/1P1B1PPP/R4RK1 w - - 0 16,True,0.0083474971252716,300+0,221.0,11.0,05rbQ5jE,faizalbudimas,kn-dti,-1
28,31,f8e8,3q1rk1/pr3ppp/1p3n2/2bp4/5Q2/P3P3/1P1BNPPP/R4RK1 b - - 1 16,False,0.0,300+0,240.0,3.0,05rbQ5jE,faizalbudimas,kn-dti,1
29,32,e2g3,3qr1k1/pr3ppp/1p3n2/2bp4/5Q2/P3P3/1P1BNPPP/R4RK1 w - - 2 17,True,0.0100058583325085,300+0,217.0,4.0,05rbQ5jE,faizalbudimas,kn-dti,-1
