,ply,move,fen,white_active,voc,time_control,clock,rt,game_id,white_player,black_player,result
0,3,d7d5,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,False,0.0,600+0,599.0,1.0,01lj82aw,ahmadalito,ProfitableCrows,1
1,4,e4d5,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,True,0.0083498113853263,600+0,593.0,3.0,01lj82aw,ahmadalito,ProfitableCrows,-1
2,5,e6d5,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,False,0.0,600+0,596.0,3.0,01lj82aw,ahmadalito,ProfitableCrows,1
3,6,d2d4,rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,True,0.0,600+0,592.0,1.0,01lj82aw,ahmadalito,ProfitableCrows,-1
4,7,g8f6,rnbqkbnr/ppp2ppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,False,0.0,600+0,595.0,1.0,01lj82aw,ahmadalito,ProfitableCrows,1
5,8,c1g5,rnbqkb1r/ppp2ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,True,0.0,600+0,586.0,6.0,01lj82aw,ahmadalito,ProfitableCrows,-1
6,9,h7h6,rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq - 2 5,False,0.0044523096325737,600+0,592.0,3.0,01lj82aw,ahmadalito,ProfitableCrows,1
7,10,g5h4,rnbqkb1r/ppp2pp1/5n1p/3p2B1/3P4/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 6,True,0.0,600+0,583.0,3.0,01lj82aw,ahmadalito,ProfitableCrows,-1
8,11,f8d6,rnbqkb1r/ppp2pp1/5n1p/3p4/3P3B/5N2/PPP2PPP/RN1QKB1R b KQkq - 1 6,False,0.0066740902500822,600+0,587.0,5.0,01lj82aw,ahmadalito,ProfitableCrows,1
9,12,f1d3,rnbqk2r/ppp2pp1/3b1n1p/3p4/3P3B/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 7,True,0.0,600+0,578.0,5.0,01lj82aw,ahmadalito,ProfitableCrows,-1
